model,n_obs,predictor,coefficient,std_err,p_value,ci_lower,ci_upper
combined,27299,document_publication_year,-0.00897098625829779,0.007063913428136038,0.2040938984436943,-0.022816002167353293,0.004874029650757712
combined,27299,document_author_count,-0.009179033366583359,0.002238905105079906,0.00004135310996494378,-0.01356720673734284,-0.004790859995823878
combined,27299,document_log_author_mean_citations,-0.05668412229002179,0.00841475775955172,1.624986119892202e-11,-0.07317674443737211,-0.04019150014267146
combined,27299,n_imported,-0.043144542449801336,0.0018635279534539692,1.3853823610590177e-118,-0.04679699012275475,-0.039492094776847925
py,22849,document_publication_year,0.005531072777982109,0.008439922568487907,0.512244760059687,-0.011010871488560977,0.022073017044525196
py,22849,document_author_count,-0.014839916141696415,0.0034238606463629336,0.00001462485456078389,-0.021550559696651796,-0.008129272586741034
py,22849,document_log_author_mean_citations,-0.06468921360098033,0.009577252503777004,1.4336360309820537e-11,-0.08346028357922931,-0.04591814362273135
py,22849,n_imported,-0.05594243034094554,0.002601032541854717,1.316619149611443e-102,-0.06104036044559745,-0.050844500236293624
r,5804,document_publication_year,-0.044004613400715084,0.012352560255754779,0.00036749659592828093,-0.06821518661885533,-0.01979404018257484
r,5804,document_author_count,-0.00475086404570423,0.0027667419304707713,0.08595486235111491,-0.010173578583943764,0.0006718504925353041
r,5804,document_log_author_mean_citations,-0.029844018411309483,0.018045996346343535,0.09817322828517562,-0.06521352131528421,0.0055254844926652495
r,5804,n_imported,-0.023034454317135637,0.0026618255573708696,4.98866249864773e-18,-0.028251536542710797,-0.017817372091560476
